i	a; n-2	b; n-1	b/a	b/a - b	sum
1	nil	nil	2	nil	2
2	nil	2	1	-1	3
3	2	1	0.5	-0.5	3.5
4	1	0.5	0.5	0	4
5	0.5	0.5	1	0.5	5
6	0.5	1	2	1	7
7	1	2	2	0	9
8	2	2	1	-1	10
9	2	1	0.5	-0.5	10.5
10	1	0.5	0.5	0	11
11	0.5	0.5	1	0.5	12
12	0.5	1	2	1	14
13	1	2	2	0	16
14	2	2	1	-1	17
15	2	1	0.5	-0.5	17.5
16	1	0.5	0.5	0	18
17	0.5	0.5	1	0.5	19
18	0.5	1	2	1	21
19	1	2	2	0	23
20	2	2	1	-1	24
21	2	1	0.5	-0.5	24.5
22	1	0.5	0.5	0	25
23	0.5	0.5	1	0.5	26
24	0.5	1	2	1	28
25	1	2	2	0	30
26	2	2	1	-1	31
27	2	1	0.5	-0.5	31.5
28	1	0.5	0.5	0	32
29	0.5	0.5	1	0.5	33
30	0.5	1	2	1	35
31	1	2	2	0	37
32	2	2	1	-1	38
33	2	1	0.5	-0.5	38.5
34	1	0.5	0.5	0	39
35	0.5	0.5	1	0.5	40
36	0.5	1	2	1	42
37	1	2	2	0	44
38	2	2	1	-1	45
39	2	1	0.5	-0.5	45.5
40	1	0.5	0.5	0	46
41	0.5	0.5	1	0.5	47
42	0.5	1	2	1	49
43	1	2	2	0	51
44	2	2	1	-1	52
45	2	1	0.5	-0.5	52.5
46	1	0.5	0.5	0	53
47	0.5	0.5	1	0.5	54
48	0.5	1	2	1	56
49	1	2	2	0	58
50	2	2	1	-1	59
51	2	1	0.5	-0.5	59.5
52	1	0.5	0.5	0	60
53	0.5	0.5	1	0.5	61
54	0.5	1	2	1	63
55	1	2	2	0	65
56	2	2	1	-1	66
57	2	1	0.5	-0.5	66.5
58	1	0.5	0.5	0	67
59	0.5	0.5	1	0.5	68
60	0.5	1	2	1	70
61	1	2	2	0	72
62	2	2	1	-1	73
63	2	1	0.5	-0.5	73.5
64	1	0.5	0.5	0	74
65	0.5	0.5	1	0.5	75
66	0.5	1	2	1	77
67	1	2	2	0	79
68	2	2	1	-1	80
69	2	1	0.5	-0.5	80.5
70	1	0.5	0.5	0	81
71	0.5	0.5	1	0.5	82
72	0.5	1	2	1	84
73	1	2	2	0	86
74	2	2	1	-1	87
75	2	1	0.5	-0.5	87.5
76	1	0.5	0.5	0	88
77	0.5	0.5	1	0.5	89
78	0.5	1	2	1	91
79	1	2	2	0	93
80	2	2	1	-1	94
81	2	1	0.5	-0.5	94.5
82	1	0.5	0.5	0	95
83	0.5	0.5	1	0.5	96
84	0.5	1	2	1	98
85	1	2	2	0	100
86	2	2	1	-1	101
87	2	1	0.5	-0.5	101.5
88	1	0.5	0.5	0	102
89	0.5	0.5	1	0.5	103
90	0.5	1	2	1	105
91	1	2	2	0	107
92	2	2	1	-1	108
93	2	1	0.5	-0.5	108.5
94	1	0.5	0.5	0	109
95	0.5	0.5	1	0.5	110
96	0.5	1	2	1	112
97	1	2	2	0	114
98	2	2	1	-1	115
99	2	1	0.5	-0.5	115.5
100	1	0.5	0.5	0	116

termen t(n) =	2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5, 1, 2, 2, 1, 0.5, 0.5
verschilrij t(n) =	-1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0, 0.5, 1, 0, -1, -0.5, 0
somrij t(100) =	116
