i	a; n-2	b; n-1	b/a	b/a - b	sum
1	null	null	2.0	null	2.0
2	null	2.0	1.0	-1.0	3.0
3	2.0	1.0	0.5	-0.5	3.5
4	1.0	0.5	0.5	0.0	4.0
5	0.5	0.5	1.0	0.5	5.0
6	0.5	1.0	2.0	1.0	7.0
7	1.0	2.0	2.0	0.0	9.0
8	2.0	2.0	1.0	-1.0	10.0
9	2.0	1.0	0.5	-0.5	10.5
10	1.0	0.5	0.5	0.0	11.0
11	0.5	0.5	1.0	0.5	12.0
12	0.5	1.0	2.0	1.0	14.0
13	1.0	2.0	2.0	0.0	16.0
14	2.0	2.0	1.0	-1.0	17.0
15	2.0	1.0	0.5	-0.5	17.5
16	1.0	0.5	0.5	0.0	18.0
17	0.5	0.5	1.0	0.5	19.0
18	0.5	1.0	2.0	1.0	21.0
19	1.0	2.0	2.0	0.0	23.0
20	2.0	2.0	1.0	-1.0	24.0
21	2.0	1.0	0.5	-0.5	24.5
22	1.0	0.5	0.5	0.0	25.0
23	0.5	0.5	1.0	0.5	26.0
24	0.5	1.0	2.0	1.0	28.0
25	1.0	2.0	2.0	0.0	30.0
26	2.0	2.0	1.0	-1.0	31.0
27	2.0	1.0	0.5	-0.5	31.5
28	1.0	0.5	0.5	0.0	32.0
29	0.5	0.5	1.0	0.5	33.0
30	0.5	1.0	2.0	1.0	35.0
31	1.0	2.0	2.0	0.0	37.0
32	2.0	2.0	1.0	-1.0	38.0
33	2.0	1.0	0.5	-0.5	38.5
34	1.0	0.5	0.5	0.0	39.0
35	0.5	0.5	1.0	0.5	40.0
36	0.5	1.0	2.0	1.0	42.0
37	1.0	2.0	2.0	0.0	44.0
38	2.0	2.0	1.0	-1.0	45.0
39	2.0	1.0	0.5	-0.5	45.5
40	1.0	0.5	0.5	0.0	46.0
41	0.5	0.5	1.0	0.5	47.0
42	0.5	1.0	2.0	1.0	49.0
43	1.0	2.0	2.0	0.0	51.0
44	2.0	2.0	1.0	-1.0	52.0
45	2.0	1.0	0.5	-0.5	52.5
46	1.0	0.5	0.5	0.0	53.0
47	0.5	0.5	1.0	0.5	54.0
48	0.5	1.0	2.0	1.0	56.0
49	1.0	2.0	2.0	0.0	58.0
50	2.0	2.0	1.0	-1.0	59.0
51	2.0	1.0	0.5	-0.5	59.5
52	1.0	0.5	0.5	0.0	60.0
53	0.5	0.5	1.0	0.5	61.0
54	0.5	1.0	2.0	1.0	63.0
55	1.0	2.0	2.0	0.0	65.0
56	2.0	2.0	1.0	-1.0	66.0
57	2.0	1.0	0.5	-0.5	66.5
58	1.0	0.5	0.5	0.0	67.0
59	0.5	0.5	1.0	0.5	68.0
60	0.5	1.0	2.0	1.0	70.0
61	1.0	2.0	2.0	0.0	72.0
62	2.0	2.0	1.0	-1.0	73.0
63	2.0	1.0	0.5	-0.5	73.5
64	1.0	0.5	0.5	0.0	74.0
65	0.5	0.5	1.0	0.5	75.0
66	0.5	1.0	2.0	1.0	77.0
67	1.0	2.0	2.0	0.0	79.0
68	2.0	2.0	1.0	-1.0	80.0
69	2.0	1.0	0.5	-0.5	80.5
70	1.0	0.5	0.5	0.0	81.0
71	0.5	0.5	1.0	0.5	82.0
72	0.5	1.0	2.0	1.0	84.0
73	1.0	2.0	2.0	0.0	86.0
74	2.0	2.0	1.0	-1.0	87.0
75	2.0	1.0	0.5	-0.5	87.5
76	1.0	0.5	0.5	0.0	88.0
77	0.5	0.5	1.0	0.5	89.0
78	0.5	1.0	2.0	1.0	91.0
79	1.0	2.0	2.0	0.0	93.0
80	2.0	2.0	1.0	-1.0	94.0
81	2.0	1.0	0.5	-0.5	94.5
82	1.0	0.5	0.5	0.0	95.0
83	0.5	0.5	1.0	0.5	96.0
