i	n-2	n-1	n
3	1	3	9
4	3	9	12
5	9	12	6.6666666666667
6	12	6.6666666666667	3.3333333333333
7	6.6666666666667	3.3333333333333	3.5
8	3.3333333333333	3.5	8.4
9	3.5	8.4	21.6
10	8.4	21.6	25.714285714286
11	21.6	25.714285714286	13.095238095238
12	25.714285714286	13.095238095238	6.1111111111111
13	13.095238095238	6.1111111111111	6.0666666666667
14	6.1111111111111	6.0666666666667	13.898181818182
15	6.0666666666667	13.898181818182	34.363636363636
16	13.898181818182	34.363636363636	39.56043956044
17	34.363636363636	39.56043956044	19.570905285191
18	39.56043956044	19.570905285191	8.9047619047619
19	19.570905285191	8.9047619047619	8.645
20	8.9047619047619	8.645	19.416577540107
21	8.645	19.416577540107	47.16577540107
22	19.416577540107	47.16577540107	53.441295546559
23	47.16577540107	53.441295546559	26.060205458702
24	53.441295546559	26.060205458702	11.703401360544
25	26.060205458702	11.703401360544	11.227272727273
26	11.703401360544	11.227272727273	24.942243875631
27	11.227272727273	24.942243875631	59.982562194838
28	24.942243875631	59.982562194838	67.336032388664
29	59.982562194838	67.336032388664	32.555210511486
30	67.336032388664	32.555210511486	14.504215361358
31	32.555210511486	14.504215361358	13.811327561328
32	14.504215361358	13.811327561328	30.471312715057
33	13.811327561328	30.471312715057	72.806420319252
34	30.471312715057	72.806420319252	81.237664881807
35	72.806420319252	81.237664881807	39.05312551277
36	81.237664881807	39.05312551277	17.306166056166
37	39.05312551277	17.306166056166	16.396335393662
38	17.306166056166	16.396335393662	36.002240065017
39	16.396335393662	36.002240065017	85.634218185025
40	36.002240065017	85.634218185025	95.143211122838
41	85.634218185025	95.143211122838	45.552721081752
42	95.143211122838	45.552721081752	20.10878404097
43	45.552721081752	20.10878404097	18.981911359585
44	20.10878404097	18.981911359585	41.534291587203
45	18.981911359585	41.534291587203	98.464432059437
46	41.534291587203	98.464432059437	109.0511888285
47	98.464432059437	109.0511888285	52.053373667414
48	109.0511888285	52.053373667414	22.911826664863
49	52.053373667414	22.911826664863	21.567852907123
50	22.911826664863	21.567852907123	47.067074185313
51	21.567852907123	47.067074185313	111.29623304591
52	47.067074185313	111.29623304591	122.9607792403
53	111.29623304591	122.9607792403	58.554733807099
54	122.9607792403	58.554733807099	25.715156045035
55	58.554733807099	25.715156045035	24.154043414086
56	25.715156045035	24.154043414086	52.600358668637
57	24.154043414086	52.600358668637	124.12913203443
58	52.600358668637	124.12913203443	136.8714936594
59	124.12913203443	136.8714936594	65.056590612953
60	136.8714936594	65.056590612953	28.518688095057
61	65.056590612953	28.518688095057	26.740411039187
62	28.518688095057	26.740411039187	58.134002479481
63	26.740411039187	58.134002479481	136.96282195663
64	58.134002479481	136.96282195663	150.78302252315
65	136.96282195663	150.78302252315	71.558809346876
66	150.78302252315	71.558809346876	31.322368645109
67	71.558809346876	31.322368645109	29.326909130775
68	31.322368645109	29.326909130775	63.667912330894
69	29.326909130775	63.667912330894	149.79710037774
70	63.667912330894	149.79710037774	164.69516028648
71	149.79710037774	164.69516028648	78.06129992405
72	164.69516028648	78.06129992405	34.126161234824
73	78.06129992405	34.126161234824	31.913506085167
74	34.126161234824	31.913506085167	69.202024630078
75	31.913506085167	69.202024630078	162.63182846175
76	69.202024630078	162.63182846175	178.60776515086
77	162.63182846175	178.60776515086	84.563999843676
78	178.60776515086	84.563999843676	36.930040428172
79	84.563999843676	36.930040428172	34.50017973628
80	36.930040428172	34.50017973628	74.736294542394
81	34.50017973628	74.736294542394	175.46690783086
82	74.736294542394	175.46690783086	192.52073614606
83	175.46690783086	192.52073614606	91.066864388617
84	192.52073614606	91.066864388617	39.733987942163
85	91.066864388617	39.733987942163	37.086914079651
86	39.733987942163	37.086914079651	80.270689554056
87	37.086914079651	80.270689554056	188.30226683742
88	80.270689554056	188.30226683742	206.43399943056
89	188.30226683742	206.43399943056	97.569860723892
90	206.43399943056	97.569860723892	42.537990298948
91	97.569860723892	42.537990298948	39.673697271727
92	42.537990298948	39.673697271727	85.805185514116
93	39.673697271727	85.805185514116	201.13785206754
94	85.805185514116	201.13785206754	220.34749975848
95	201.13785206754	220.34749975848	104.07296419784
96	220.34749975848	104.07296419784	45.342037345302
97	104.07296419784	45.342037345302	42.260520360824
98	45.342037345302	42.260520360824	91.339764109427
99	42.260520360824	91.339764109427	213.97362289027
100	91.339764109427	213.97362289027	234.26119497519
101	213.97362289027	234.26119497519	110.57615594343
102	234.26119497519	110.57615594343	48.146121287497
103	110.57615594343	48.146121287497	44.847376455638
104	48.146121287497	44.847376455638	96.874411201998
105	44.847376455638	96.874411201998	226.80954785107
106	96.874411201998	226.80954785107	248.17505235807
107	226.80954785107	248.17505235807	117.07942127617
108	248.17505235807	117.07942127617	50.950236043802
109	117.07942127617	50.950236043802	47.434260164939
110	50.950236043802	47.434260164939	102.40911570375
111	47.434260164939	102.40911570375	239.64560222063
112	102.40911570375	239.64560222063	262.08904611923
113	239.64560222063	262.08904611923	123.58274859643
114	262.08904611923	123.58274859643	53.754376799038
115	123.58274859643	53.754376799038	50.021167210613
116	53.754376799038	50.021167210613	107.94386879646
117	50.021167210613	107.94386879646	252.48176628927
118	107.94386879646	252.48176628927	276.00315566148
119	252.48176628927	276.00315566148	130.08612862002
120	276.00315566148	130.08612862002	56.558539691296
121	130.08612862002	56.558539691296	52.608094154578
122	56.558539691296	52.608094154578	113.47866337939
123	52.608094154578	113.47866337939	265.31802415523
124	113.47866337939	265.31802415523	289.91736433533
125	265.31802415523	289.91736433533	136.5895538281
126	289.91736433533	136.5895538281	59.362721587226
127	136.5895538281	59.362721587226	55.195038202305
128	59.362721587226	55.195038202305	119.01349367067
129	55.195038202305	119.01349367067	278.1543628477
130	119.01349367067	278.1543628477	303.83165853665
131	278.1543628477	303.83165853665	143.09301806671
132	303.83165853665	143.09301806671	62.166919918018
133	143.09301806671	62.166919918018	57.781997059014
134	62.166919918018	57.781997059014	124.54835491478
135	57.781997059014	124.54835491478	290.9907716814
136	124.54835491478	290.9907716814	317.74602704106
137	290.9907716814	317.74602704106	149.59651625065
138	317.74602704106	149.59651625065	64.971132557769
139	149.59651625065	64.971132557769	60.368968822767
140	64.971132557769	60.368968822767	130.08324316453
141	60.368968822767	130.08324316453	303.82724177462
142	130.08324316453	303.82724177462	331.66046050548
143	303.82724177462	331.66046050548	156.10004414109
144	331.66046050548	156.10004414109	67.775357731995
145	156.10004414109	67.775357731995	62.955951903875
146	67.775357731995	62.955951903875	135.61815511638
147	62.955951903875	135.61815511638	316.66376568409
148	135.61815511638	316.66376568409	345.5749510899
149	316.66376568409	345.5749510899	162.60359817663
150	345.5749510899	162.60359817663	70.579593947912
151	162.60359817663	70.579593947912	65.542944963356
152	70.579593947912	65.542944963356	141.15308798436
153	65.542944963356	141.15308798436	329.50033712525
154	141.15308798436	329.50033712525	359.4894921669
155	329.50033712525	359.4894921669	169.10717534316
156	359.4894921669	169.10717534316	73.383839940683
157	169.10717534316	73.383839940683	68.129946865398
158	73.383839940683	68.129946865398	146.6880394026
159	68.129946865398	146.6880394026	342.33695075519
160	146.6880394026	342.33695075519	373.40407809595
161	342.33695075519	373.40407809595	175.61077307264
162	373.40407809595	175.61077307264	76.188094631514
163	175.61077307264	76.188094631514	70.71695664024
164	76.188094631514	70.71695664024	152.223007349
165	70.71695664024	152.223007349	355.17360200274
166	152.223007349	355.17360200274	387.31870404636
167	355.17360200274	387.31870404636	182.11438916354
168	387.31870404636	182.11438916354	78.992357094669
169	182.11438916354	78.992357094669	73.303973454899
170	78.992357094669	73.303973454899	157.75799008502
171	73.303973454899	157.75799008502	368.01028693397
172	157.75799008502	368.01028693397	401.23336585698
173	368.01028693397	401.23336585698	188.61802171772
174	401.23336585698	188.61802171772	81.79662653126
175	188.61802171772	81.79662653126	75.890996589884
176	81.79662653126	75.890996589884	163.29298610763
177	75.890996589884	163.29298610763	380.84700214494
178	163.29298610763	380.84700214494	415.14805992414
179	380.84700214494	415.14805992414	195.12166908994
180	415.14805992414	195.12166908994	84.600902248241
181	195.12166908994	84.600902248241	78.478025420505
182	84.600902248241	78.478025420505	168.82799411077
183	78.478025420505	168.82799411077	393.68374467534
184	168.82799411077	393.68374467534	429.06278311128
185	393.68374467534	429.06278311128	201.62532984705
186	429.06278311128	201.62532984705	87.405183641445
187	201.62532984705	87.405183641445	81.065059401758
188	87.405183641445	81.065059401758	174.36301295412
189	81.065059401758	174.36301295412	406.52051193851
190	174.36301295412	406.52051193851	442.9775326757
191	406.52051193851	442.9775326757	208.12900273494
192	442.9775326757	208.12900273494	90.209470181782
193	208.12900273494	90.209470181782	83.652098056017
194	90.209470181782	83.652098056017	179.89804163759
195	83.652098056017	179.89804163759	419.35730166432
196	179.89804163759	419.35730166432	456.89230620858
197	419.35730166432	456.89230620858	214.63268665139
198	456.89230620858	214.63268665139	93.013761403928
199	214.63268665139	93.013761403928	86.23914096293
200	93.013761403928	86.23914096293	185.43307928043
201	86.23914096293	185.43307928043	432.19411185217
202	185.43307928043	432.19411185217	470.80710158573
203	432.19411185217	470.80710158573	221.13638062379
204	470.80710158573	221.13638062379	95.818056897001
205	221.13638062379	95.818056897001	88.826187751089
206	95.818056897001	88.826187751089	190.96812510395
207	88.826187751089	190.96812510395	445.03094073216
208	190.96812510395	445.03094073216	484.72191692671
209	445.03094073216	484.72191692671	227.64008379061
210	484.72191692671	227.64008379061	98.622356296829
211	227.64008379061	98.622356296829	91.413238091108
212	98.622356296829	91.413238091108	196.50317841714
213	91.413238091108	196.50317841714	457.86778673277
214	196.50317841714	457.86778673277	498.6367505609
215	457.86778673277	498.6367505609	234.14379538599
216	498.6367505609	234.14379538599	101.42665927949
217	234.14379538599	101.42665927949	94.000291689843
218	101.42665927949	94.000291689843	202.03823860468
219	94.000291689843	202.03823860468	470.70464845383
220	202.03823860468	470.70464845383	512.55160099898
221	470.70464845383	512.55160099898	240.64751472682
222	512.55160099898	240.64751472682	104.23096555591
