i	i^2	i^3	single
69	4761	328509	true
128	16384	2097152	false
203	41209	8365427	false
302	91204	27543608	false
327	106929	34965783	false
366	133956	49027896	false
398	158404	63044792	false
467	218089	101847563	false
542	293764	159220088	false
591	349281	206425071	false
593	351649	208527857	false
598	357604	213847192	false
633	400689	253636137	false
643	413449	265847707	false
669	447561	299418309	false
690	476100	328509000	false
747	558009	416832723	false
759	576081	437245479	false
903	815409	736314327	false
923	851929	786330467	false
943	889249	838561807	false
