i	n-2	n-1	n
3	1.0	3.0	9.0
4	3.0	9.0	12.0
5	9.0	12.0	6.666666666666667
6	12.0	6.666666666666667	3.3333333333333335
7	6.666666666666667	3.3333333333333335	3.5
8	3.3333333333333335	3.5	8.4
9	3.5	8.4	21.6
10	8.4	21.6	25.71428571428571
11	21.6	25.71428571428571	13.095238095238093
12	25.71428571428571	13.095238095238093	6.111111111111111
13	13.095238095238093	6.111111111111111	6.066666666666667
14	6.111111111111111	6.066666666666667	13.89818181818182
15	6.066666666666667	13.89818181818182	34.36363636363637
16	13.89818181818182	34.36363636363637	39.560439560439555
17	34.36363636363637	39.560439560439555	19.570905285190996
18	39.560439560439555	19.570905285190996	8.904761904761905
19	19.570905285190996	8.904761904761905	8.645000000000003
20	8.904761904761905	8.645000000000003	19.416577540106957
21	8.645000000000003	19.416577540106957	47.16577540106952
22	19.416577540106957	47.16577540106952	53.441295546558685
23	47.16577540106952	53.441295546558685	26.06020545870169
24	53.441295546558685	26.06020545870169	11.70340136054422
25	26.06020545870169	11.70340136054422	11.227272727272732
26	11.70340136054422	11.227272727272732	24.94224387563147
27	11.227272727272732	24.94224387563147	59.98256219483841
28	24.94224387563147	59.98256219483841	67.33603238866394
29	59.98256219483841	67.33603238866394	32.555210511485804
30	67.33603238866394	32.555210511485804	14.504215361358218
31	32.555210511485804	14.504215361358218	13.811327561327566
32	14.504215361358218	13.811327561327566	30.471312715057163
33	13.811327561327566	30.471312715057163	72.80642031925214
34	30.471312715057163	72.80642031925214	81.23766488180746
35	72.80642031925214	81.23766488180746	39.053125512770265
36	81.23766488180746	39.053125512770265	17.306166056166056
37	39.053125512770265	17.306166056166056	16.396335393661605
38	17.306166056166056	16.396335393661605	36.00224006501712
39	16.396335393661605	36.00224006501712	85.63421818502512
40	36.00224006501712	85.63421818502512	95.14321112283756
41	85.63421818502512	95.14321112283756	45.55272108175195
42	95.14321112283756	45.55272108175195	20.108784040970278
43	45.55272108175195	20.108784040970278	18.981911359585165
44	20.108784040970278	18.981911359585165	41.534291587202674
45	18.981911359585165	41.534291587202674	98.46443205943655
46	41.534291587202674	98.46443205943655	109.05118882850152
47	98.46443205943655	109.05118882850152	52.05337366741423
48	109.05118882850152	52.05337366741423	22.911826664863106
49	52.05337366741423	22.911826664863106	21.567852907122855
50	22.911826664863106	21.567852907122855	47.06707418531293
51	21.567852907122855	47.06707418531293	111.2962330459057
52	47.06707418531293	111.2962330459057	122.9607792403002
53	111.2962330459057	122.9607792403002	58.55473380709943
54	122.9607792403002	58.55473380709943	25.71515604503459
55	58.55473380709943	25.71515604503459	24.154043414085546
56	25.71515604503459	24.154043414085546	52.600358668637085
57	24.154043414085546	52.600358668637085	124.1291320344273
58	52.600358668637085	124.1291320344273	136.87149365940488
59	124.1291320344273	136.87149365940488	65.05659061295269
60	136.87149365940488	65.05659061295269	28.518688095057158
61	65.05659061295269	28.518688095057158	26.740411039187265
62	28.518688095057158	26.740411039187265	58.13400247948143
63	26.740411039187265	58.13400247948143	136.96282195663082
64	58.13400247948143	136.96282195663082	150.78302252314768
65	136.96282195663082	150.78302252314768	71.5588093468755
66	150.78302252314768	71.5588093468755	31.322368645108856
67	71.5588093468755	31.322368645108856	29.326909130775316
68	31.322368645108856	29.326909130775316	63.667912330893614
69	29.326909130775316	63.667912330893614	149.79710037774169
70	63.667912330893614	149.79710037774169	164.69516028647746
71	149.79710037774169	164.69516028647746	78.06129992404988
72	164.69516028647746	78.06129992404988	34.12616123482448
73	78.06129992404988	34.12616123482448	31.91350608516668
74	34.12616123482448	31.91350608516668	69.20202463007793
75	31.91350608516668	69.20202463007793	162.63182846175008
76	69.20202463007793	162.63182846175008	178.60776515086025
77	162.63182846175008	178.60776515086025	84.56399984367638
78	178.60776515086025	84.56399984367638	36.93004042817222
79	84.56399984367638	36.93004042817222	34.500179736280195
80	36.93004042817222	34.500179736280195	74.73629454239449
81	34.500179736280195	74.73629454239449	175.4669078308592
82	74.73629454239449	175.4669078308592	192.52073614605868
83	175.4669078308592	192.52073614605868	91.06686438861732
84	192.52073614605868	91.06686438861732	39.733987942163076
85	91.06686438861732	39.733987942163076	37.086914079650796
86	39.733987942163076	37.086914079650796	80.27068955405579
87	37.086914079650796	80.27068955405579	188.30226683741947
88	80.27068955405579	188.30226683741947	206.43399943056374
89	188.30226683741947	206.43399943056374	97.56986072389203
90	206.43399943056374	97.56986072389203	42.53799029894763
91	97.56986072389203	42.53799029894763	39.67369727172675
92	42.53799029894763	39.67369727172675	85.80518551411583
93	39.67369727172675	85.80518551411583	201.13785206753576
94	85.80518551411583	201.13785206753576	220.34749975848453
95	201.13785206753576	220.34749975848453	104.07296419784468
96	220.34749975848453	104.07296419784468	45.342037345301826
97	104.07296419784468	45.342037345301826	42.26052036082356
98	45.342037345301826	42.26052036082356	91.33976410942724
99	42.26052036082356	91.33976410942724	213.97362289026665
100	91.33976410942724	213.97362289026665	234.26119497519298
101	213.97362289026665	234.26119497519298	110.57615594342852
102	234.26119497519298	110.57615594342852	48.14612128749736
103	110.57615594342852	48.14612128749736	44.8473764556376
104	48.14612128749736	44.8473764556376	96.87441120199846
105	44.8473764556376	96.87441120199846	226.8095478510689
106	96.87441120199846	226.8095478510689	248.1750523580714
107	226.8095478510689	248.1750523580714	117.07942127617311
108	248.1750523580714	117.07942127617311	50.95023604380215
109	117.07942127617311	50.95023604380215	47.43426016493853
110	50.95023604380215	47.43426016493853	102.40911570375256
111	47.43426016493853	102.40911570375256	239.64560222062582
112	102.40911570375256	239.64560222062582	262.0890461192273
113	239.64560222062582	262.0890461192273	123.58274859643426
114	262.0890461192273	123.58274859643426	53.75437679903843
115	123.58274859643426	53.75437679903843	50.021167210613264
116	53.75437679903843	50.021167210613264	107.94386879646486
117	50.021167210613264	107.94386879646486	252.4817662892667
118	107.94386879646486	252.4817662892667	276.0031556614838
119	252.4817662892667	276.0031556614838	130.0861286200247
120	276.0031556614838	130.0861286200247	56.55853969129595
121	130.0861286200247	56.55853969129595	52.60809415457805
122	56.55853969129595	52.60809415457805	113.47866337939142
123	52.60809415457805	113.47866337939142	265.3180241552336
124	113.47866337939142	265.3180241552336	289.9173643353272
125	265.3180241552336	289.9173643353272	136.58955382809805
126	289.9173643353272	136.58955382809805	59.36272158722586
127	136.58955382809805	59.36272158722586	55.195038202305135
128	59.36272158722586	55.195038202305135	119.01349367067012
129	55.195038202305135	119.01349367067012	278.1543628476964
130	119.01349367067012	278.1543628476964	303.8316585366478
131	278.1543628476964	303.8316585366478	143.09301806671445
132	303.8316585366478	143.09301806671445	62.16691991801778
133	143.09301806671445	62.16691991801778	57.78199705901424
134	62.16691991801778	57.78199705901424	124.54835491477877
135	57.78199705901424	124.54835491477877	290.9907716814034
136	124.54835491477877	290.9907716814034	317.7460270410602
137	290.9907716814034	317.7460270410602	149.59651625064657
138	317.7460270410602	149.59651625064657	64.97113255776917
139	149.59651625064657	64.97113255776917	60.3689688227675
140	64.97113255776917	60.3689688227675	130.08324316453385
141	60.3689688227675	130.08324316453385	303.8272417746166
142	130.08324316453385	303.8272417746166	331.6604605054794
143	303.8272417746166	331.6604605054794	156.10004414109093
144	331.6604605054794	156.10004414109093	67.77535773199507
145	156.10004414109093	67.77535773199507	62.955951903875
146	67.77535773199507	62.955951903875	135.6181551163785
147	62.955951903875	135.6181551163785	316.663765684092
148	135.6181551163785	316.663765684092	345.5749510899048
149	316.663765684092	345.5749510899048	162.6035981766338
150	345.5749510899048	162.6035981766338	70.57959394791212
